MP name,Nature of membership,Start of term,End of term,No. of Term,Standing Committee Membership,State,Constituency,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average
Bheemrao B. Patil,Elected,18-May-14,In office,First,Home Affairs,Telangana,Zahirabad,Telangana Rashtra Samithi,Male,Graduate,B.Sc. (Agriculture),62,37,0,381,79%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,34,1.4,260,69%
Bhola Singh,Elected,18-May-14,In office,First,"Food, Consumer Affairs & Public Distribution",Uttar Pradesh,Bulandshahr,Bharatiya Janata Party,Male,Graduate,Graduate,40,18,9,144,98%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,94.4,1.3,162,87%
Bhuwan Chandra Khanduri,Elected,18-May-14,In office,Fifth,Defence,Uttarakhand,Garhwal,Bharatiya Janata Party,Male,Graduate,"B.Sc., B.E., M.I.E. (India), Long Defence Management Course 
Educated at Allahabad University, Allahabad (Uttar Pradesh), College of Military Engineering, Pune (Maharashtra)",83,12,5,104,96%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,39,5.3,117,91%
Bidyut Baran Mahato,Elected,18-May-14,In office,First,Industry,Jharkhand,Jamshedpur,Bharatiya Janata Party,Male,Inter/ Higher Secondary,I. Sc.,55,86,2,714,92%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,73.3,5.3,354,86%
Bijoy Chandra Barman,Elected,18-May-14,In office,First,Human Resource Development,West Bengal,Jalpaiguri,All India Trinamool Congress,Male,Post Graduate,"M.A., B.Ed.",60,2,0,0,53%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,29.1,0.3,77,65%
Bijoya Chakravarty,Elected,18-May-14,In office,Third,Commerce,Assam,Gauhati,Bharatiya Janata Party,Female,Post Graduate,"M.A. (English); Educated at Guwahati University, Guwahati, Assam and Banaras Hindu University, Varanasi (Uttar Pradesh) ",78,31,0,38,70%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,43.2,0.5,135,74%
Biren Singh Engti,Elected,18-May-14,In office,Seventh,Rural Development ,Assam,Autonomous District,Indian National Congress,Male,Post Graduate,"M.A., LL.B.; Educated at Guwahati University, Assam",73,0,1,1,81%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,43.2,0.5,135,74%
Birendra Kumar Chaudhary,Elected,18-May-14,In office,First,Industry,Bihar,Jhanjharpur,Bharatiya Janata Party,Male,Post Graduate,"M.A., LL.B",65,36,0,33,96%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,51.6,2.7,166,88%
Bishnu Pada Ray,Elected,18-May-14,In office,Third,Home Affairs,Andaman and Nicobar Islands,Andaman and Nicobar Islands,Bharatiya Janata Party,Male,Graduate,"B.Com. (Hons.); Educated at Andamohan College, Calcutta, West Bengal",67,30,0,89,88%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,30,0,89,88%
Bodhsingh Bhagat,Elected,18-May-14,In office,First,Commerce,Madhya Pradesh,Balaghat,Bharatiya Janata Party,Male,Graduate,B. Sc.,62,20,0,84,83%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,64.1,0.7,237,82%
Boora Narsaiah Goud,Elected,18-May-14,In office,First,Labour ,Telangana,Bhongir,Telangana Rashtra Samithi,Male,Professional Post Graduate,M.S.(General Surgery),59,56,6,191,55%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,34,1.4,260,69%
Brij Bhushan Sharan Singh,Elected,18-May-14,In office,Fifth,Urban Development,Uttar Pradesh,Kaiserganj,Bharatiya Janata Party,Male,Post Graduate,"M.A., LL.B.; Educated at Saket Mahavidyalay, Avadh University, Faizabad (Uttar Pradesh) ",61,6,0,22,86%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,94.4,1.3,162,87%
Butta Renuka,Elected,18-May-14,In office,First,Rural Development ,Andhra Pradesh,Kurnool,Yuvajana Sramika Rythu Congress Party,Female,Inter/ Higher Secondary,Higher Secondary,46,43,0,111,63%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,35,0.6,221,75%
C. Gopalakrishnan,Elected,18-May-14,In office,First,Finance,Tamil Nadu,Nilgiris,All India Anna Dravida Munnetra Kazhagam,Male,Post Graduate,"M.A., M.Phil (Socio), M.Phil (ENP), L.L.B",56,31,0,528,74%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,39.8,0,359,78%
C. L. Ruala,Elected,18-May-14,In office,Second,Agriculture,Mizoram,Mizoram,Indian National Congress,Male,Professional Graduate,"B.A., B.T.; Educated at St. Edmund`s college Shillong, Gauhati University",82,2,0,4,91%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,2,0,4,91%
C. Mahendran,Elected,18-May-14,In office,First,Agriculture,Tamil Nadu,Pollachi,All India Anna Dravida Munnetra Kazhagam,Male,Post Graduate,M.A.,45,39,0,368,83%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,39.8,0,359,78%
C. R. Patil,Elected,18-May-14,In office,Second,Health and Family Welfare,Gujarat,Navsari,Bharatiya Janata Party,Male,Certificate Course,"I.T.I; Educated at Industrial Training Institute, Surat",63,6,6,285,90%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,36.6,2,233,84%
C.N. Jayadevan,Elected,18-May-14,In office,First,Labour ,Kerala,Thrissur,Communist Party of India,Male,Graduate,B.A.,67,58,0,351,81%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,118.4,3.4,360,78%
C.R. Choudhary,Elected,18-May-14,In office,First,No,Rajasthan,Nagaur,Bharatiya Janata Party,Male,Post Graduate,M.A. (Geography),70,133,0,322,97%,"This MP was appointed a minister in Jul 2016. Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till May, 2016. (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018)",35.2,1,136,80%,87.4,2.4,207,88%
C.S. Puttaraju,Elected,18-May-14,In office,First,"Food, Consumer Affairs & Public Distribution",Karnataka,Mandya,Janata Dal (Secular),Male,Information not available,P.U.C.,53,1,0,562,58%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,42.1,0.3,315,80%
Chand Nath,Elected,18-May-14,17/09/2017,First,No,Rajasthan,Alwar,Bharatiya Janata Party,Male,Graduate,"B.A., (Deemed) Doctorate",61,23,0,88,47%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),54.2,1.6,215,80%,120.3,3.2,299,88%
Chandra Prakash Joshi,Elected,18-May-14,In office,First,Railways ,Rajasthan,Chittorgarh,Bharatiya Janata Party,Male,Graduate,B.Com.,42,365,4,526,96%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,124.9,3.6,329,88%
Chandrakant Bhaurao Khaire,Elected,18-May-14,In office,Fourth,Finance,Maharashtra,Aurangabad,Shiv Sena,Male,Graduate,"B.Sc. (1st Year), Diploma in Personnel Management; Educated at Marathawada University, Aurangabad, Maharashtra",66,62,10,515,74%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,58.2,3.5,495,79%
Chandu Lal Sahu,Elected,18-May-14,In office,Second,Coal & Steel,Chhattisgarh,Mahasamund,Bharatiya Janata Party,Male,Professional Graduate,"B.Com., LL.B.; Educated at Rajiv Lochan College, Rajim and; Durga College, Raipur",58,15,0,194,95%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,23,0.1,184,84%
Charanjeet Singh Rori,Elected,18-May-14,In office,First,Urban Development,Haryana,Sirsa,Indian National Lok Dal,Male,Matric,Matric,48,9,0,75,86%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,53.8,2.8,227,86%
Chauhan Devusinh Jesingbhai,Elected,18-May-14,In office,First,Water Resources ,Gujarat,Kheda,Bharatiya Janata Party,Male,Inter/ Higher Secondary,Information not available,53,21,0,238,82%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,36.6,2,233,84%
Chavda Vinod Lakhamashi,Elected,18-May-14,In office,First,"Transport, Tourism and Culture",Gujarat,Kachchh,Bharatiya Janata Party,Male,Professional Graduate,"L.L.B., B.Ed.",39,7,0,193,83%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,36.6,2,233,84%
Chhedi Paswan,Elected,18-May-14,In office,Third,Chemicals & Fertilizers,Bihar,Sasaram,Bharatiya Janata Party,Male,Post Graduate,M.A.,62,43,0,53,93%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,51.6,2.7,166,88%
Chhotelal,Elected,18-May-14,In office,First,Commerce,Uttar Pradesh,Robertsganj,Bharatiya Janata Party,Male,Under Matric,Information not available,45,21,0,30,87%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,94.4,1.3,162,87%
Chintaman Navasha Wanga,Elected,18-May-14,30/01/2018,Third,Rural Development ,Maharashtra,Palghar,Bharatiya Janata Party,Male,Professional Graduate,"B.A. (Hons.), LL.B. 
Educated at Bombay University, Mumbai (Maharashtra)",67,32,0,267,98%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),56.8,1.8,226,80%,56.9,3.5,461,79%
Chintamani Malviya,Elected,18-May-14,In office,First,Human Resource Development,Madhya Pradesh,Ujjain,Bharatiya Janata Party,Male,Doctorate,"M.A., M.Phil. Ph.D.",49,26,0,167,74%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,64.1,0.7,237,82%
Chirag Kumar Paswan,Elected,18-May-14,In office,First,"Health and Family Welfare and Science & Technology, Environment & Forests",Bihar,Jamui,Lok Jan Shakti Party,Male,Professional Graduate,B. Tech Computer Science,35,16,0,84,95%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,51.6,2.7,166,88%
Choudhury Mohan Jatua,Elected,18-May-14,In office,Second,Urban Development,West Bengal,Mathurapur,All India Trinamool Congress,Male,Post Graduate,M.Com.; Educated at Kolkata University,79,0,0,0,74%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,29.1,0.3,77,65%
Chudasama Rajeshbhai Naranbhai,Elected,18-May-14,In office,First,"Transport, Tourism and Culture",Gujarat,Junagadh,Bharatiya Janata Party,Male,Inter/ Higher Secondary,Information not available,35,5,0,432,73%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,36.6,2,233,84%
Conrad Kongkal Sangma,Elected,19-May-16,In office,First,Energy,Meghalaya,Tura,National Peoples Party,Male,Professional Post Graduate,"BBA (Entrepreneurial Management), MBA (Finance), Educated at University of Pennsylvania and Imperial College, University of London",40,5,0,16,59%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),22.7,0.7,106,80%,7.3,0,57,75%
D.K. Suresh,Elected,18-May-14,In office,Second,Information Technology,Karnataka,Bangalore Rural,Indian National Congress,Male,Inter/ Higher Secondary,Inter/Higher Secondary,51,83,0,528,88%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,42.1,0.3,315,80%
D.V. Sadananda Gowda,Elected,18-May-14,In office,Third,No,Karnataka,Bangalore North,Bharatiya Janata Party,Male,Professional Graduate,"B.Sc., L.L.B.; Educated at St. Phelomena College, Puttur, Dakshina Kannada, Karnataka and Vaikunta Baliga Law Collge, Udupi",65,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.ÿThey do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Daddan Mishra,Elected,18-May-14,In office,First,"Science & Technology, Environment & Forests",Uttar Pradesh,Shrawasti,Bharatiya Janata Party,Male,Post Graduate,"M.A., B.Ed.",50,102,1,35,93%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,94.4,1.3,162,87%
Dalpat Singh Paraste,Elected,18-May-14,01/06/2016,Fifth,No,Madhya Pradesh,Shahdol,Bharatiya Janata Party,Male,Professional Graduate,B.A.. LL.B,67,4,0,224,90%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),35.2,1,136,80%,36.3,0.6,125,82%
Darshana Vikram Jardosh,Elected,18-May-14,In office,Second,Industry,Gujarat,Surat,Bharatiya Janata Party,Female,Graduate,"B.Com.; Educated at K.P. College of Commerce, Surat, Certificate Course in Computer from NIIT",57,69,7,318,95%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,36.6,2,233,84%
Dasrath Tirkey,Elected,18-May-14,In office,First,Health and Family Welfare,West Bengal,Alipurduars,All India Trinamool Congress,Male,Graduate,B.Com.,51,3,0,0,67%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,29.1,0.3,77,65%
Dayakar Pasunoori,Elected,26-Nov-15,In office,First,Labour ,Telangana,Warangal,Telangana Rashtra Samithi,Male,Information not available,Information not available,50,0,1,5,51%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),38,1.2,152,80%,19.3,1.4,160,69%
Deepender Singh Hooda,Elected,18-May-14,In office,Third,Energy,Haryana,Rohtak,Indian National Congress,Male,Professional Post Graduate,"B.Tech., M.B.A.; Educated at University at Birla Institute, M.D. University, Rohtak (Haryana) and Kelley School of Business, Indiana University, Bloomington, USA",40,46,3,90,80%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,53.8,2.8,227,86%
Devendra Singh @ Bhole Singh,Elected,18-May-14,In office,First,Energy,Uttar Pradesh,Akbarpur,Bharatiya Janata Party,Male,Matric,High School,63,59,0,88,91%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,94.4,1.3,162,87%
Devji Patel,Elected,18-May-14,In office,Second,Agriculture,Rajasthan,Jalore,Bharatiya Janata Party,Male,Matric,Matriculation,41,191,9,502,82%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,124.9,3.6,329,88%
Dhananjay Bhimrao Mahadik,Elected,18-May-14,In office,First,Commerce,Maharashtra,Kolhapur,Nationalist Congress Party,Male,Graduate,B.Com.,46,46,1,935,73%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,58.2,3.5,495,79%
Dharam Vira Gandhi,Elected,18-May-14,In office,First,Urban Development,Punjab,Patiala,Aam Aadmi Party,Male,Doctorate,"M.D. (Medicine), Asst. Professor (Cardiology)",66,52,5,15,56%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,40.7,0.9,114,69%
Dharambir,Elected,18-May-14,In office,First,Defence,Haryana,Bhiwani-Mahendragarh,Bharatiya Janata Party,Male,Graduate,Graduate,63,12,0,190,94%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,53.8,2.8,227,86%
Dharmendra Kumar,Elected,18-May-14,In office,First,"Food, Consumer Affairs & Public Distribution",Uttar Pradesh,Aonla,Bharatiya Janata Party,Male,Matric,High School,49,8,0,1,93%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,94.4,1.3,162,87%
Dharmendra Yadav,Elected,18-May-14,In office,Third,Agriculture,Uttar Pradesh,Badaun,Samajwadi Party,Male,Post Graduate,"M.A., L.L.B.; Educated at Allahabad University, Allahabad, Uttar Pradesh",39,48,0,806,82%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,94.4,1.3,162,87%
Dhruva Narayana Rangaswamy,Elected,18-May-14,In office,Second,Chemicals & Fertilizers,Karnataka,Chamrajanagar,Indian National Congress,Male,Post Graduate,"M.Sc. (Agriculture); Educated at University of Agricultural Sciences, Bangalore",56,97,2,573,84%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,42.1,0.3,315,80%
Dibyendu Adhikari,Elected,25-Nov-16,In office,First,Commerce,West Bengal,Tamluk,All India Trinamool Congress,Male,Graduate,"B.A. (Hons.) 1998, Contai Pravat Kumar College, Vidyasagar University",36,0,0,68,49%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),15.8,0.6,81,80%,8.8,0.1,28,65%
Dileepsingh Bhuria,Elected,18-May-14,24/06/2015,Sixth,No,Madhya Pradesh,Ratlam,Bharatiya Janata Party,Male,Matric,High School,73,2,0,92,94%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),18,0.5,70,80%,13.5,0.5,58,82%
Dilip Kumar Mansukhlal Gandhi,Elected,18-May-14,In office,Third,Urban Development,Maharashtra,Ahmednagar,Bharatiya Janata Party,Male,Matric,"S.S.C.; Educated at Pune University, Pune (Maharashtra)",66,36,2,308,68%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,58.2,3.5,495,79%
Dilip Patel,Elected,18-May-14,In office,First,Home Affairs,Gujarat,Anand,Bharatiya Janata Party,Male,Matric,Matric,62,0,0,225,67%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,36.6,2,233,84%
